id,estudiante_id,materia,nota,fecha
0,1,matemáticas,3.5,2023-05-10
1,2,lenguaaa,3.0,2023-05-10
2,3,historia,5.0,2025-09-27
3,4,ciencias,3.4105263157894736,2023-03-15
4,5,ingles,2.8,2023-11-20
5,6,ingles,4.5,2023-07-15
6,7,lenguua,1.0,2023-09-12
7,8,matematicas,3.4105263157894736,2023-02-18
8,9,ciencias,5.0,2023-04-25
9,10,historia,3.4105263157894736,2023-08-05
10,11,lengua,3.2,2025-09-27
11,12,matematicas,3.4105263157894736,2023-01-30
12,13,historia,5.0,2023-06-12
13,14,ingles,5.0,2023-11-20
14,15,ciencias,2.7,2023-12-01
15,16,lengua,4.0,2023-09-10
16,17,matematicas,3.0,2023-07-15
17,18,historia,3.0,2023-03-12
18,19,ciencias,2.9,2025-09-27
19,20,ingles,3.4105263157894736,2023-05-08
20,21,lengua,5.0,2023-01-14
21,22,matemáticas,2.3,2023-06-19
22,23,ingles,1.0,2023-11-27
23,24,ciencias,3.4,2023-10-10
24,25,historia,3.4105263157894736,2023-04-09
25,26,matematicas,5.0,2023-02-17
26,27,ingles,3.0,2023-03-12
27,28,lengua,3.4105263157894736,2023-08-30
28,29,ciencias,2.0,2023-09-21
29,30,historia,3.0,2023-07-14
30,31,matemáticas,4.0,2025-09-27
31,32,lenguua,5.0,2023-06-11
32,33,ingles,3.5,2023-11-18
33,34,historia,2.8,2023-12-01
34,35,ciencias,1.0,2023-05-22
35,36,matematicas,3.4105263157894736,2023-02-09
36,37,lengua,3.4105263157894736,2025-09-27
37,38,ingles,3.0,2023-07-01
38,39,historia,3.0,2023-10-19
39,40,lenguaaa,3.4105263157894736,2023-09-04
40,41,matematicas,5.0,2023-04-11
41,42,ciencias,3.4105263157894736,2023-03-08
42,43,ingles,2.0,2023-11-23
43,44,historia,3.4105263157894736,2023-05-17
44,45,lengua,3.4105263157894736,2025-09-27
45,46,ciencias,3.4105263157894736,2023-06-30
46,47,lenguua,3.0,2023-01-20
47,48,matematicas,3.4105263157894736,2023-02-15
48,49,ciencias,3.4105263157894736,2023-09-27
49,50,historia,3.4105263157894736,2023-10-06
50,51,ingles,5.0,2023-08-14
51,52,matematicas,3.4105263157894736,2023-03-19
52,53,lengua,3.4105263157894736,2025-09-27
53,54,ciencias,4.0,2023-12-09
54,55,lengua,3.4105263157894736,2023-04-02
55,56,historia,3.0,2023-11-28
56,57,matematicas,3.4105263157894736,2023-02-23
57,58,ingles,2.0,2023-07-12
58,59,matemáticas,3.4105263157894736,2023-06-08
59,60,lenguaaa,3.4105263157894736,2023-10-25
60,61,historia,3.4105263157894736,2025-09-27
61,62,lenguua,3.4105263157894736,2023-08-30
62,63,ciencias,5.0,2023-01-18
63,64,historia,3.4105263157894736,2023-02-05
64,65,lengua,3.4105263157894736,2023-03-27
65,66,ingles,3.4105263157894736,2023-04-21
66,67,matematicas,3.4105263157894736,2023-05-09
67,68,lengua,3.4105263157894736,2025-09-27
68,69,ciencias,3.4105263157894736,2023-07-02
69,70,historia,3.4105263157894736,2023-09-14
70,71,ingles,3.4105263157894736,2023-10-31
71,72,matematicas,3.4105263157894736,2023-12-19
72,73,lenguua,3.4105263157894736,2023-02-11
73,74,ciencias,3.4105263157894736,2023-03-06
74,75,lenguaaa,3.4105263157894736,2023-04-17
75,76,historia,3.4105263157894736,2025-09-27
76,77,lengua,3.4105263157894736,2023-05-13
77,78,matematicas,3.4105263157894736,2023-06-28
78,79,ingles,3.4105263157894736,2023-07-20
79,80,ciencias,3.4105263157894736,2023-08-22
80,81,lengua,3.4105263157894736,2023-09-30
81,82,historia,3.4105263157894736,2023-10-04
82,83,lenguua,3.4105263157894736,2025-09-27
83,84,ciencias,3.4105263157894736,2023-11-16
84,85,matematicas,3.4105263157894736,2023-12-08
85,86,ingles,3.4105263157894736,2023-01-15
86,87,historia,3.4105263157894736,2023-02-19
87,88,lengua,3.4105263157894736,2023-03-21
88,89,matemáticas,3.4105263157894736,2023-04-29
89,90,lenguaaa,3.4105263157894736,2023-05-25
90,91,historia,3.4105263157894736,2023-06-14
91,92,matematicas,3.4105263157894736,2023-07-30
92,93,lenguua,3.4105263157894736,2025-09-27
93,94,ciencias,3.4105263157894736,2023-08-27
94,95,lengua,3.4105263157894736,2023-09-19
95,96,ingles,3.4105263157894736,2023-10-12
96,97,historia,3.4105263157894736,2023-11-06
97,98,ciencias,3.4105263157894736,2023-12-02
98,99,lenguua,3.4105263157894736,2023-01-09
99,100,matematicas,3.4105263157894736,2023-02-13
